brand,model,score,comment,date
AKG,k701,3,,2024-06-15
AKG,k812,3,,2024-06-15
ATH,m50x,1,,2024-06-15
ATH,r70x,2,,2024-06-15
Abyss,1266 Phi TC,3,,2024-06-15
Audeze,LCD-1,2,,2024-06-15
Audeze,LCD-5,3,,2024-06-15
Audeze,Maxwell,4,,2024-06-15
Aune,AR5000,5,,2024-06-15
Austrian,Composer,2,,2024-06-15
Beyer,dt700 prox,5,,2024-06-15
Beyer,dt770 pro 80,2,,2024-06-15
Beyer,dt770 prox,5,,2024-06-15
Beyer,dt880 250,3,,2024-06-15
Beyer,dt900 prox,5,,2024-06-15
Beyer,dt990 250,2,,2024-06-15
Beyer,dt990 pro,2,,2024-06-15
Denon,AH-D7200,4,,2024-06-15
Denon,AH-D9200,3,,2024-06-15
Feaulle,Feature,4,,2024-06-15
Fiio,FT3 32,5,,2024-06-15
Fiio,FT3 350,4,,2024-06-15
Fiio,FT5,2,,2024-06-15
Fiio,JT1,5,,2024-06-15
Focal,Radiance,5,,2024-06-15
Focal,Utopia 2022,3,,2024-06-15
Hifiman,Edition XS,3,,2024-06-15
Hifiman,Sundara Closed,5,,2024-06-15
Hifiman,Susvara,3,,2024-06-15
Hifiman,he-r9,1,,2024-06-15
Hifiman,he400se Dual-Magenetic,4,,2024-06-15
Hifiman,he400se Stealth,4,,2024-06-15
Moondrop,Cosmo,2,,2024-06-15
Moondrop,Joker,1,,2024-06-15
Moondrop,Para,2,,2024-06-15
Moondrop,Venus,2,,2024-06-15
Music Wizard,PMH-1,1,,2024-06-15
NAN,NAN-6,4,,2024-06-15
NAN,NAN-7,5,,2024-06-15
Philips,Fidelio X2HR,4,,2024-06-15
Philips,Fidelio X3,4,,2024-06-15
Philips,shp9500,3,,2024-06-15
Sennheiser,hd600,2,,2024-06-15
Sennheiser,hd620s,2,,2024-06-15
Sennheiser,hd650,3,,2024-06-15
Sennheiser,hd800s,3,,2024-06-15
Shure,srh1840,3,,2024-06-15
Sony,MDR-cd900st,3,,2024-06-15
Sony,WH-1000XM5,4,,2024-06-15
Ultrasone,Edition 11,5,,2024-06-15
VZR,Model One,3,,2024-06-15
XK Audio,Avalon MKII,3,,2024-06-15
Yamaha,YH-5000SE,2,,2024-06-15
ZMF,Atticus,3,,2024-06-15
微翼,超新星,1,,2024-06-15
