brand,model,driver,db/mw,db/vrms,impedance,balance,back,production,note
Beyer,dt770 pro 32,dynamic,96,,32,no,closed,producing,sensitivity at 500 hz
Beyer,dt770 pro 80,dynamic,96,,80,no,closed,producing,sensitivity at 500 hz
Beyer,dt770 pro 250,dynamic,96,,250,no,closed,producing,sensitivity at 500 hz
Beyer,dt700 prox,dynamic,100,114,48,no,closed,producing,sensitivity at 500 hz
Beyer,dt770 prox,dynamic,98,112,48,no,closed,producing,sensitivity at 500 hz
Beyer,dt880 32,dynamic,96,,32,no,open,producing,sensitivity at 500 hz
Beyer,dt880 250,dynamic,96,,250,no,open,producing,sensitivity at 500 hz
Beyer,dt880 600,dynamic,96,,600,no,open,producing,sensitivity at 500 hz
Beyer,dt880 pro,dynamic,96,,250,no,open,producing,sensitivity at 500 hz
Beyer,dt990 32,dynamic,96,,32,no,open,producing,sensitivity at 500 hz
Beyer,dt990 250,dynamic,96,,250,no,open,producing,sensitivity at 500 hz
Beyer,dt990 600,dynamic,96,,600,no,open,producing,sensitivity at 500 hz
Beyer,dt990 pro 250,dynamic,96,,250,no,open,producing,sensitivity at 500 hz
Beyer,dt900 prox,dynamic,100,114,48,no,open,producing,sensitivity at 500 hz
Beyer,dt1770 pro,dynamic,102,,250,no,closed,producing,sensitivity at 500 hz
Beyer,dt1990 pro,dynamic,102,,250,no,open,producing,sensitivity at 500 hz
Beyer,T1 1st,dynamic,,,,yes,open,discontinued,
Beyer,T1 2nd,dynamic,,,,yes,open,discontinued,
Beyer,T1 3rd,dynamic,100,,32,yes,open,producing,sensitivity at 500 hz
Beyer,T5 1st,dynamic,,,,yes,closed,discontinued,
Beyer,T5 2nd,dynamic,,,,yes,closed,discontinued,
Beyer,T5 3rd,dynamic,100,,32,yes,closed,producing,sensitivity at 500 hz
Beyer,Amiron Home,dynamic,102,,250,yes,open,producing,sensitivity at 500 hz
Beyer,dt150,dynamic,97,,250,no,closed,unsertain,sensitivity not sure at what frequency
Sennheiser,hd490 pro,dynamic,96,105,130,yes,open,producing,
Sennheiser,hd560s,dynamic,,110,,no,open,producing,
Sennheiser,hd600,dynamic,,97,300,yes,open,producing,
Sennheiser,hd650,dynamic,,103,300,yes,open,producing,
Sennheiser,hd660s,dynamic,,104,150,yes,open,producing,
Sennheiser,hd660s2,dynamic,,104,300,yes,open,producing,
Sennheiser,hd620s,dynamic,,110,150,yes,closed,producing,
Sennheiser,hd800s,dynamic,,102,300,yes,open,producing,
Sennheiser,hd820,dynamic,,103,300,yes,closed,producing,
AKG,k240,dynamic,,104,55,no,open,producing,
AKG,k701,dynamic,,105,62,no,open,producing,
AKG,k702,dynamic,,105,62,no,open,producing,
AKG,k712,dynamic,,105,62,no,open,producing,
AKG,k812,dynamic,,110,36,no,open,producing,
AKG,k872,dynamic,,112,36,no,closed,producing,
AKG,k1000,dynamic,74,,120,yes,open,discontinued,head-speaker; data not secured
Fiio,jt1,dynamic,103,117,32,yes,closed,producing,
Fiio,ft1,dynamic,,,,no,closed,producing,
Fiio,ft3 350,dynamic,,105,350,yes,open,producing,
Fiio,ft3 32,dynamic,,110,32,yes,open,producing,
Fiio,ft5,planar,96,110,36,yes,open,producing,
Moondrop,Para,planar,,101,8,yes,open,producing,
Moondrop,Joker,dynamic,,106,68,yes,closed,producing,
Moondrop,Venus,planar,,100,18,yes,open,inventory,
Moondrop,Void,dynamic,,110,64,yes,open,producing
Moondrop,Cosmo,planar,,100,15,yes,open,producing,
Hifiman,Susvara Unveiled,planar,86,,45,yes,open,producing,
Hifiman,Susvara,planar,83,,60,yes,open,producing,
Hifiman,he-r10p,planar,100,,35,yes,closed,producing,
Hifiman,he-r10d,dynamic,103,,60,yes,closed,producing,
Hifiman,he1000se,planar,96,,35,yes,open,producing,
Hifiman,Edition XS,planar,92,,18,yes,open,producing,
Hifiman,Sundara,planar,92,,32,yes,open,producing,
Hifiman,he6se,planar,83.5,,50,yes,open,producing,
Hifiman,he400i,planar,93,,35,yes,open,producing,
Hifiman,he560,planar,90,,45,yes,open,unsertain,
Hifiman,he6,planar,83.5,,50,yes,open,discontinued,
Hifiman,Audivina,planar,97,,20,yes,closed,producing,
Hifiman,he1000 Stealth,planar,93,,32,yes,open,producing,
Hifiman,Arya Stealth,planar,94,,32,yes,open,discontinued,
Hifiman,Ananda Stealth V2,planar,93,,26,yes,open,discontinued,
Hifiman,Ananda Stealth V3,planar,93,,16,yes,open,producing,
Hifiman,Ananda Nano,planar,94,,14,yes,open,producing,
Hifiman,Arya Organic,planar,94,,16,yes,open,producing,
Hifiman,he1000 V2,planar,90,,35,yes,open,producing,
