brand,model,driver,mw,v,impedance,balanced,back,note
Beyer,dt770pro 32Ω,dynamic,96,,32,no,closed,sensitivity at 500 hz
Beyer,dt770pro 80Ω,dynamic,96,,80,no,closed,sensitivity at 500 hz
Beyer,dt770pro 250Ω,dynamic,96,,250,no,closed,sensitivity at 500 hz
Beyer,dt700prox,dynamic,100,114,48,no,closed,sensitivity at 500 hz
Beyer,dt770prox,dynamic,98,112,48,no,closed,sensitivity at 500 hz
Beyer,dt880 32Ω,dynamic,96,,32,no,open,sensitivity at 500 hz
Beyer,dt880 250Ω,dynamic,96,,250,no,open,sensitivity at 500 hz
Beyer,dt880 600Ω,dynamic,96,,600,no,open,sensitivity at 500 hz
Beyer,dt990 32Ω,dynamic,96,,32,no,open,sensitivity at 500 hz
Beyer,dt990 250Ω,dynamic,96,,250,no,open,sensitivity at 500 hz
Beyer,dt990 600Ω,dynamic,96,,600,no,open,sensitivity at 500 hz
Beyer,dt900prox,dynamic,100,114,48,no,open,sensitivity at 500 hz
Beyer,dt1990pro,dynamic,102,,250,no,open,sensitivity at 500 hz
Beyer,dt1770pro,dynamic,102,,250,no,closed,sensitivity at 500 hz
Beyer,t1 3rd,dynamic,100,,32,no,open,sensitivity at 500 hz
Beyer,t5 3rd,dynamic,100,,32,no,closed,sensitivity at 500 hz
Beyer,Amiron Home,dynamic,102,,250,yes,open,sensitivity at 500 hz
Sennheiser,hd490pro,dynamic,96,105,130,yes,open,
Sennheiser,hd560s,dynamic,,110,,no,open,
Sennheiser,hd600,dynamic,,97,300,unsertain,open,maybe supports balanced
Sennheiser,hd650,dynamic,,103,300,no,open,maybe supports balanced
Sennheiser,hd660s,dynamic,,104,150,yes,open,
Sennheiser,hd660s2,dynamic,,104,300,yes,open,
Sennheiser,hd620s,dynamic,,110,150,yes,closed,
Sennheiser,hd800s,dynamic,,102,300,yes,open,
Sennheiser,hd820,dynamic,,103,300,yes,closed,
AKG,k240 Studio,dynamic,,104,55,no,open,
AKG,k701,dynamic,,105,62,no,open,
AKG,k702,dynamic,,105,62,no,open,
AKG,k712,dynamic,,105,62,no,open,
AKG,k812,dynamic,,110,36,no,open,
AKG,k872,dynamic,,112,36,no,closed,
AKG,k1000,dynamic,74,,120,yes,open,head-speaker 
Fiio,jt1,dynamic,,103,32,yes,closed,
Fiio,ft1,dynamic,,,,no,closed,
Fiio,ft3 350Ω,dynamic,,105,350,yes,open,
Fiio,ft3 32Ω,dynamic,,110,32,yes,open,
Fiio,ft5,planar,96,110,36,yes,open,
Moondrop,Para,planar,,101,8,yes,open,
Moondrop,Joker,dynamic,,106,68,yes,closed,
Moondrop,Venus,planar,,100,18,yes,open,
Moondrop,Void,dynamic,,110,64,yes,open
Moondrop,Cosmo,planar,,100,15,yes,open,
Hifiman,Susvara Unveiled,planar,86,,45,yes,open,
Hifiman,Susvara,planar,83,,60,yes,open,
Hifiman,he-r10p,planar,100,,35,yes,closed,
Hifiman,he-r10d,dynamic,103,,60,yes,closed,
Hifiman,he1000se,planar,96,,35,yes,open,
Hifiman,Edition XS,planar,92,,18,yes,open,
Hifiman,Sundara,planar,92,,32,yes,open,
Hifiman,he6se,planar,83.5,,50,yes,open,
Hifiman,he400i,planar,93,,35,yes,open,
Hifiman,he560,planar,90,,45,yes,open,
Hifiman,he6,planar,83.5,,50,yes,open,
Hifiman,Audivina,planar,97,,20,yes,closed,
Hifiman,he1000 Stealth,planar,93,,32,yes,open,
Hifiman,Arya Stealth,planar,94,,32,yes,open,
Hifiman,Ananda Stealth V2,planar,93,,26,yes,open,
Hifiman,Ananda Stealth V3,planar,93,,16,yes,open,
Hifiman,Ananda Nano,planar,94,,14,yes,open,
Hifiman,Arya Organic,planar,94,,16,yes,open,
Hifiman,he1000 V2,planar,90,,35,yes,open,
Hifiman,Edition X V2,planar,103,,25,yes,open,
Hifiman,he500,planar,89,,38,yes,open,
Hifiman,he5se,planar,92,,40,yes,open,
Hifiman,Arya (V1/录音师版),planar,90,,35,yes,open,
Hifiman,he1000 (V1),planar,90,,35,yes,open,35±3Ω
Hifiman,he400s,planar,98,,22,yes,open,
Hifiman,Edition X (V1),planar,103,,25,yes,open,
Hifiman,he4,planar,,,,yes,open,
Hifiman,Edition S,dynamic,113,,18,yes,closed,
Hifiman,he5 LE,planar,,,,yes,open,
Hifiman,he300,dynamic,93,,50,yes,open,
Hifiman,he400,planar,92.5,,35,yes,open,
Hifiman,DEVA,planar,93.5,,18,yes,open,wireless
Hifiman,DEVA pro,planar,93.5,,18,yes,open,wireless
Hifiman,Ananda BT,planar,103,,35,no,open,wireless
Hifiman,he400se 双边磁体版 (v1),planar,91,,25,yes,open,
Hifiman,he400se 隐形磁体版 (v2),planar,91,,32,yes,open,
Hifiman,he400i ver.2020,planar,93,,35,yes,open,
Hifiman,he-r9,dynamic,100,,60,yes,closed,
Hifiman,Sundara Closed,planar,98,,20,yes,closed,
Hifiman,Ananda (V1),planar,93,,26,yes,open,
Audeze,LCD-5,planar,90,,14,yes,open,
Audeze,LCD-4z,planar,98,,15,yes,open,
Audeze,MM-500,planar,100,,18,yes,open,
Audeze,MM-100,planar,98,,18,no,open,
Audeze,LCD-MX4,planar,105,,20,yes,open,
Audeze,LCD-X,planar,103,,20,yes,open,
Audeze,LCD-XC,planar,100,,20,yes,closed,
Audeze,LCD-GX,planar,100,,20,yes,open,
Audeze,LCD-3,planar,101,,110,yes,open,
Audeze,LCD-2,planar,101,,70,yes,open,
Audeze,LCD-2 Classic,planar,101,,70,yes,open,
Audeze,LCD-2 Closed,planar,101,,70,yes,closed,
Audeze,LCD-4,planar,97,,200,yes,open,
Meze,Elite,planar,101,,32,yes,open,
Meze,Empyrean II,planar,,105,32,yes,open,
Meze,109 pro,dynamic,112,,40,yes,open,
Meze,Liric,planar,100,,61,yes,closed,
Meze,99 Classics,dynamic,103,,32,yes,closed,
Meze,99 Neo,dynamic,103,,26,yes,closed,
Focal,Utopia 2022,dynamic,104,,80,yes,open,
Focal,Stellia,dynamic,106,,35,yes,closed,
Focal,Clear Mg,dynamic,104,,55,yes,open,
Focal,Celestee,dynamic,105,,35,yes,closed,
Focal,Hadenys,dynamic,100,,26,no,open,
Focal,Azurys,dynamic,100,,26,no,closed,
Focal,Clear Mg Pro,dynamic,104,,55,yes,open,
Focal,Listen Pro,dynamic,,122,32,no,closed,
Focal,Radiance,dynamic,101,,35,yes,closed,
Focal,Elegia,dynamic,105,,35,yes,open,
Focal,Utopia (V1),dynamic,104,,80,yes,open,
NAN,NAN-7,planar,,100,14,yes,open,
NAN,NAN-6,planar,,94.4,41,yes,open,calculated dB/Vrms from ASR test data
XK Audio,X1266,planar,88,,30,yes,open,
Abyss,1266 Phi TC,planar,88,,50,yes,open,
Abyss,Diana DZ,planar,92,,50,yes,open,
Abyss,Diana MR,planar,93,,30,yes,open,
Abyss,Diana TC,planar,90,,69,yes,open,
Sony,MDR-7506,dynamic,106,,63,no,closed,
Sony,MDR-CD900ST,dynamic,106,,63,no,closed,
Sony,MDR-MV1,dynamic,100,,24,yes,open,
Sony,MDR-Z1R,dynamic,100,,64,yes,closed,
微翼,超新星,dynamic,103,,32,no,closed,
Philips,shp9500,dynamic,101,,32,no,open,
Philips,shp9600,dynamic,102,,32,no,open,
Philips,Fidelio X1S,dynamic,100,,30,no,open,
Philips,Fidelio X2,dynamic,100,,30,no,open,
Philips,Fidelio X2HR,dynamic,100,,30,yes,open,
Philips,Fidelio X3,dynamic,93,,30,yes,open,
Audio-Technica,m20x,dynamic,96,,47,no,closed,
Audio-Technica,m30x,dynamic,96,,47,no,closed,
Audio-Technica,m40x,dynamic,98,,35,no,closed,
Audio-Technica,m50x,dynamic,99,,38,no,closed,
Audio-Technica,m60x,dynamic,102,,38,no,closed,
Audio-Technica,m70x,dynamic,97,,35,no,closed,
Audio-Technica,r70x,dynamic,98,,470,yes,open,
Audio-Technica,AWKG,dynamic,102,,48,yes,closed,
Audio-Technica,AWKT,dynamic,102,,48,yes,closed,
Audio-Technica,AWAS,dynamic,99,,40,yes,closed,
Audio-Technica,W2022,dynamic,98,,48,yes,closed,
Audio-Technica,a2000z,dynamic,101,,42,unsertain,closed,
Audio-Technica,a1000z,dynamic,101,,44,unsertain,closed,
Audio-Technica,a990z,dynamic,100,,44,no,closed,
Audio-Technica,a550z,dynamic,100,,40,no,closed,
Audio-Technica,adx5000,dynamic,100,,420,yes,open,
Audio-Technica,ad2000x,dynamic,103,,40,yes,open,
Audio-Technica,ad1000x,dynamic,102,,40,yes,open,
Audio-Technica,ad900x,dynamic,103,,38,no,open,
Audio-Technica,ad700x,dynamic,100,,38,no,open,
Audio-Technica,ad500x,dynamic,100,,48,no,open,
Dan Clark Audio,E3,planar,90,,27,yes,semi-closed,
Dan Clark Audio,Expanse,planar,,97.5,23,yes,open,calculated dB/Vrms from ASR test data; impedance rises in low frequencies
Dan Clark Audio,Stealth,planar,,99.2,23,yes,closed,calculated dB/Vrms from ASR test data
Feaulle,Feature,dynamic,105,,32,yes,closed,should be dB/mW?
Feaulle,Century,dynamic,110,,32,yes,open,should be dB/mW?
Aune,ar5000,dynamic,,108,28,yes,open,
Aune,sr7000,dynamic,,,,yes,closed,
Denon,AH-D5200,dynamic,103,,24,yes,closed,
Denon,AH-D7200,dynamic,105,,25,yes,closed,data not secured
Denon,AH-D9200,dynamic,105,,24,yes,closed,
VZR,Model One,dynamic,100,,32,yes,closed,
Shure,srh440a,dynamic,97,,40,no,closed,
Shure,srh840a,dynamic,97,,40,no,open,
Shure,srh240a,dynamic,107,,38,unsertain,closed,
Shure,srh550dj,dynamic,109,,32,unsertain,closed,
Shure,srh1440,dynamic,101,,37,yes,open,
Shure,srh1540,dynamic,99,,46,yes,closed,
Shure,srh1840,dynamic,96,,65,yes,open,
Ultrasone,Edition 11,dynamic,,,32,yes,open,data not secured
MusicWizard,PMH-1,planar,99,,60,yes,open,
T+A,Solitaire P,planar magnetostatic,,,80,yes,open,
T+A,Solitaire P-SE,planar magnetostatic,,,45,yes,open,
Yamaha,YH-5000SE,planar,98,,34,yes,open,
ZMF,Atticus,dynamic,99,,300,yes,semi-closed,
ZMF,Aeolus,dynamic,99,,300,yes,open,
ZMF,Verite,dynamic,97,,300,yes,open,
ZMF,Verite Closed,dynamic,99,,300,yes,closed,
ZMF,Auteur,dynamic,97,,300,yes,open,
ZMF,Eikon,dynamic,98,,300,yes,semi-closed,
ZMF,Caldera,planar,95,,60,yes,open,
ZMF,Caldera Closed,planar,94,,60,yes,closed,
ZMF,Bokeh,dynamic,103,,80,yes,closed,
Final,d8000,planar,98,,60,yes,unsertain,
Final,d8000pro,planar,98,,60,yes,unsertain,
Final,Sonorous X,dynamic,105,,16,yes,unsertain,
Final,Sonorous VIII,dynamic,105,,16,yes,unsertain,
Final,Sonorous VI,dynamic,105,,8,yes,unsertain,
Final,Sonorous IV,dynamic,105,,8,yes,unsertain,
Final,Sonorous III,dynamic,105,,16,yes,unsertain,
Austrian Audio,Composer,dynamic,,112,22,yes,open,
Austrian Audio,Hi-X65,dynamic,,110,25,no,open,
Austrian Audio,Hi-X60,dynamic,,110,25,no,closed,
Austrian Audio,Hi-X55,dynamic,,118,25,no,closed,
Austrian Audio,Hi-X50,dynamic,,118,25,no,closed,
Austrian Audio,Hi-X15,dynamic,,113,25,no,closed,
Sivga,Pheonix,dynamic,103,,32,yes,open,should be dB/mW?
Sivga,Robin SV021,dynamic,105,,32,yes,closed,should be dB/mW?
Sivga,SV023,dynamic,105,,300,yes,open,should be dB/mW?
Sivga,Oriole,dynamic,108,,32,yes,closed,should be dB/mW?
Sivga,Luan,dynamic,100,,38,yes,open,should be dB/mW?
Sivga,P2,planar,98,,32,yes,open,should be dB/mW?
Sivga,P2 Pro,planar,98,,32,yes,open,should be dB/mW?
